Publication URLs with Years:

Name: Alexander Decruyenaere
Publications:
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01HFC2TCPPQXNYPG5P5Y4DQA0W
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01JB9T10X7WBPKR3R8ZDS7BRY3
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01JB9TF2XV9Z99SG2EHV258QYM
  Year: 2024, URL: http://hdl.handle.net/1854/LU-01J9HNFMTXGRKVAENZSH6C3YX6
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GMN1Y5X9HMA9HPFMN1PY0G3X
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GMN23PVJTJYKMRVGVVVGP7N5
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HFRKMRGB747YN087X5FWDZTQ
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01HFRD2S5C7ZV80QV1WEE3V6DA
  Year: 2022, URL: http://hdl.handle.net/1854/LU-01GMN2J00AAM63HP7M7003QG9X
  Year: 2022, URL: http://hdl.handle.net/1854/LU-8764796
  Year: 2021, URL: http://hdl.handle.net/1854/LU-8712468
  Year: 2021, URL: http://hdl.handle.net/1854/LU-01GRNSNYJMF0AZK9VNPYGDW9FG
  Year: 2020, URL: http://hdl.handle.net/1854/LU-8673813
  Year: 2019, URL: http://hdl.handle.net/1854/LU-01GMN29C8ZKMZNBDAWZEKHCDAW
  Year: 2018, URL: http://hdl.handle.net/1854/LU-8549386
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8558558
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8558559
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8558561
  Year: 2017, URL: http://hdl.handle.net/1854/LU-8558560
  Year: 2016, URL: http://hdl.handle.net/1854/LU-7151410
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6973993
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6973999
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6973986
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6850502
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6973997
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6973998
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6973990
  Year: 2015, URL: http://hdl.handle.net/1854/LU-6973983

Name: Alexander Van Tongel
Publications:
  Year: 2023, URL: http://hdl.handle.net/1854/LU-01GMAAMM3MJ8EC3JDT0T7E9T8E
